"ID"	"log2FC"	"pvalue"	"padj"	"lfcSE"	"stat"	"condition"	"exp_observed_in_ctr_group"
"ENSG00000291431"	1.83357704177741	2.34892463879074e-07	3.16735332473345e-05	0.354700727858641	5.16936362901444	"ctr"	"up"
"ENSG00000226171"	1.77759602269967	5.86227212265569e-14	2.60567139792559e-11	0.236661848871807	7.51112201300574	"ctr"	"up"
"ENSG00000274418"	1.77095613003746	6.49765623072817e-08	1.1301213394923e-05	0.327679619701756	5.4045354778223	"ctr"	"up"
"ENSG00000236342"	1.68713266650341	2.0189382234553e-14	9.78013218139338e-12	0.220557049884631	7.64941618227988	"ctr"	"up"
"ENSG00000235220"	1.65002473619558	2.99490387841483e-07	3.82360015370812e-05	0.322033496776787	5.1237674114978	"ctr"	"up"
"ENSG00000275979"	1.64359981919205	3.88022917732489e-09	8.02872937190965e-07	0.279086170084727	5.88921987317779	"ctr"	"up"
"ENSG00000236873"	1.6224736382448	1.14440395312621e-15	6.24272356430347e-13	0.202548734332105	8.01028771468179	"ctr"	"up"
"ENSG00000274616"	1.58687305952272	1.35548942717016e-07	2.08554213018835e-05	0.301046986030027	5.27118068992872	"ctr"	"up"
"ENSG00000243215"	1.57725819849819	3.90150095957464e-06	0.0003080389014201	0.341652144372751	4.61656168262583	"ctr"	"up"
"ENSG00000234530"	1.48966535517659	2.16562456082139e-07	3.05445648726028e-05	0.287329013764654	5.18452813260532	"ctr"	"up"
"ENSG00000224120"	1.37277345723328	7.73914004904074e-06	0.000527712612093965	0.306951855138365	4.47227613794505	"ctr"	"up"
"ENSG00000265491"	1.36139546813442	0.000532534086839776	0.0119905095237601	0.393031329205313	3.46383447570728	"ctr"	"up"
"ENSG00000276341"	1.34950326910837	1.85174967925232e-06	0.00016835490833869	0.282976141139308	4.76896484514576	"ctr"	"up"
"ENSG00000237095"	1.3490149051366	0.000149774644190606	0.00478044017269007	0.355805157884938	3.79144280300976	"ctr"	"up"
"ENSG00000292118"	1.34424323630068	0.000165355222196211	0.00512082909950943	0.356866369457498	3.76679718614049	"ctr"	"up"
"ENSG00000082516"	1.34341663471484	0.000208271982316287	0.00611117863026346	0.362227414580829	3.70876576602973	"ctr"	"up"
"ENSG00000099840"	1.32654783645352	0.000512874949432004	0.0116572202047983	0.381856821183196	3.47394039562569	"ctr"	"up"
"ENSG00000152457"	1.32529168898498	5.73109655034529e-05	0.0023394180170304	0.329378148506472	4.02361751984569	"ctr"	"up"
"ENSG00000137496"	1.32175109137059	3.79690576589677e-05	0.00168142679322978	0.320852080922064	4.1195029422036	"ctr"	"up"
