"ID"	"log2FC"	"pvalue"	"padj"	"lfcSE"	"stat"	"observed_expression_in_ctr"
"ENSG00000000003"	0.0438831876009835	0.870789034882089	0.947103426465466	0.26979084297413	0.1626563270911	"UP"
"ENSG00000000419"	-0.0296803281044844	0.421169486594254	0.68214182443598	0.0368977509388706	-0.804393963026542	"DOWN"
"ENSG00000000457"	0.0777163019595967	0.590761724290697	0.800285749318507	0.144525947359934	0.537732520555969	"UP"
"ENSG00000000460"	0.300584279818147	0.0014144856837374	0.0231899904705665	0.0941774863257701	3.19167872859118	"UP"
"ENSG00000001036"	-0.198390471656365	0.122935526342714	0.362226676071424	0.128610484742909	-1.54256841542075	"DOWN"
"ENSG00000001084"	-0.0148014084046019	0.88254069143318	0.951178341974817	0.100179270675008	-0.147749213034493	"DOWN"
"ENSG00000001167"	-0.00017951151938378	0.999333798110513	0.999891820023144	0.214994066244183	-0.000834960343416627	"DOWN"
"ENSG00000001460"	0.200194608029392	0.260549708885291	0.535145825146737	0.177936083772474	1.12509280740032	"UP"
"ENSG00000001461"	0.0228515232984243	0.804165374895231	0.911828105075365	0.0921581124825557	0.247959975338577	"UP"
"ENSG00000001497"	0.0190404100950877	0.811094417103367	0.916274591309253	0.0796621882769013	0.239014399515418	"UP"
"ENSG00000001561"	0.454445962232411	0.0879369654000007	0.299724942279298	0.26632134054508	1.70638207701379	"UP"
"ENSG00000001617"	-0.030018528525027	0.717256084516664	0.86983056991092	0.0828947103685377	-0.362128396270028	"DOWN"
"ENSG00000001626"	0.382253401998904	2.89309362247274e-05	0.0013943205641541	0.0914105209515694	4.18172216961138	"UP"
"ENSG00000001629"	-0.0492526682842233	0.671365174722742	0.842933186302531	0.116086625943047	-0.424275129749975	"DOWN"
"ENSG00000001630"	0.028735969310672	0.537553609810525	0.765456616895806	0.046610210713154	0.616516614514303	"UP"
"ENSG00000001631"	-0.294329149036178	0.100289329671126	0.324161074090608	0.179091963637372	-1.64345257630957	"DOWN"
"ENSG00000002016"	0.363279659877506	0.0186217632119256	0.120153005745056	0.154388854713881	2.35301738944012	"UP"
"ENSG00000002330"	-0.186111526362092	0.000160264703991061	0.00500868935572064	0.0493062929870388	-3.7745998550533	"DOWN"
"ENSG00000002549"	-0.0620205202782029	0.318964076373688	0.597360780362145	0.0622328000659972	-0.99658894043705	"DOWN"
"ENSG00000002586"	0.0658426160114789	0.216878858852749	0.486704632054983	0.0533194680633438	1.23487008409869	"UP"
"ENSG00000002746"	0.501702682946094	0.140134772590807	0.389025539177023	0.340070704227911	1.4752893345669	"UP"
"ENSG00000002822"	-0.0588610354467912	0.659256606445485	0.836247598980263	0.133489969451348	-0.440939762655679	"DOWN"
"ENSG00000002834"	0.0620153421352011	0.185190334123924	0.448983676731558	0.0468060748125419	1.32494216581015	"UP"
"ENSG00000002919"	-0.189483621431002	0.55610301443087	0.779714469601153	0.321900867575111	-0.588639673009856	"DOWN"
"ENSG00000003056"	0.11631263440147	0.00322792975170023	0.0402501618849808	0.039492874510433	2.94515493853818	"UP"
"ENSG00000003137"	0.424621195280396	0.000356904481642895	0.0089983417735218	0.118939634826317	3.57005632227183	"UP"
"ENSG00000003147"	0.0989537824181228	0.147658527982375	0.399650427225186	0.0683452468806505	1.44785170782868	"UP"
"ENSG00000003249"	0.0247180255962858	0.801182115664613	0.909904196204251	0.0981584828945103	0.251817518643294	"UP"
"ENSG00000003393"	0.0193379870658872	0.877615566674686	0.949975772741292	0.12557737503687	0.15399260464084	"UP"
"ENSG00000003400"	-0.265110085486743	0.176839570392733	0.438394255079182	0.196297842361011	-1.35055017568242	"DOWN"
"ENSG00000003402"	0.180702829305009	0.0735753840463996	0.270141152217286	0.100993905108995	1.78924489661025	"UP"
"ENSG00000003509"	0.0641829425793593	0.529387809570535	0.76050264291781	0.102049257909993	0.628940806565869	"UP"
"ENSG00000003756"	0.323658581312296	0.000127246824094009	0.00421847827611105	0.0844680662559928	3.8317271326113	"UP"
"ENSG00000003989"	0.153058896169115	0.294696621414421	0.572344436822667	0.146066113949318	1.04787408955251	"UP"
"ENSG00000004059"	-0.0938596168758745	0.00274936418337433	0.0365394458080568	0.0313444834044713	-2.99445410105197	"DOWN"
"ENSG00000004139"	-0.0851634206208726	0.445382221112816	0.700679875591267	0.111596631928084	-0.763136119338749	"DOWN"
"ENSG00000004142"	0.301983292032405	0.0473291920281969	0.208822659386173	0.152259784369489	1.98334243860205	"UP"
"ENSG00000004399"	-0.90859210707479	0.00771517814368665	0.0711781863035457	0.341026404349002	-2.66428668128861	"DOWN"
"ENSG00000004455"	0.127992235258305	0.000620848819308897	0.0133288133819787	0.0373990536405784	3.4223388775654	"UP"
"ENSG00000004487"	0.0545146808345518	0.216966129789032	0.486704632054983	0.0441544679441151	1.23463566367846	"UP"
"ENSG00000004534"	-0.186597313273019	0.0231660562723905	0.137427504362313	0.0821766633196026	-2.27068495769052	"DOWN"
"ENSG00000004660"	-0.15597602185395	0.288023854028003	0.565340873892256	0.14680555866844	-1.06246672992963	"DOWN"
"ENSG00000004700"	-0.0525592408258267	0.468822960456306	0.718912888230792	0.0725560010721783	-0.724395502083158	"DOWN"
"ENSG00000004766"	-0.104716798011378	0.291735101717293	0.5698426034683	0.0993213717457036	-1.05432291329492	"DOWN"
"ENSG00000004777"	0.084038791489666	0.622109308905375	0.819891535454854	0.170511422752231	0.492863118101961	"UP"
"ENSG00000004779"	-0.0450798615399586	0.103878241999875	0.329941238976496	0.0277186678202646	-1.62633579045965	"DOWN"
"ENSG00000004838"	0.13651598436004	0.623407678361887	0.820128314596716	0.278021601608423	0.491026537399473	"UP"
"ENSG00000004848"	0.787237289419309	0.0147872880686751	0.104083427631771	0.322962904965247	2.43754709075342	"UP"
"ENSG00000004864"	-0.0661501095259244	0.512022325736262	0.747619138834711	0.10088595080736	-0.655691986808317	"DOWN"
"ENSG00000004866"	0.0545782350049447	0.573234746682277	0.789900994192826	0.0968912170318108	0.563293935992423	"UP"
"ENSG00000004897"	-0.254690289071545	0.00741860029932506	0.0695701305607977	0.0951243730080288	-2.6774451280751	"DOWN"
"ENSG00000004961"	0.0743588232573657	0.252363573547204	0.52717410724804	0.0649633487548527	1.14462731190118	"UP"
"ENSG00000004975"	0.0131590281111288	0.873003658640472	0.947794183765543	0.0823239930041814	0.159844385955142	"UP"
"ENSG00000005001"	0.345510316204985	6.21171348751542e-07	7.08350696209983e-05	0.069316724527299	4.98451590956109	"UP"
"ENSG00000005007"	-0.110083191503162	0.180791310560234	0.443694493566171	0.0822546034458122	-1.33832256058085	"DOWN"
"ENSG00000005020"	0.315983301425095	0.00045573746032103	0.0106200102161411	0.0901390999319952	3.50550761726583	"UP"
"ENSG00000005022"	-0.0407230907753178	0.817198206243668	0.920470935185997	0.176175971388883	-0.231150085078443	"DOWN"
"ENSG00000005059"	0.0951230754806382	0.487344161846019	0.731860872419057	0.136958552128574	0.694539143428872	"UP"
"ENSG00000005073"	0.0741072400650722	0.189060289532193	0.454573758964461	0.0564255108225028	1.31336409692755	"UP"
"ENSG00000005075"	0.212309752086527	0.0392809078336887	0.187663286191122	0.103001383424467	2.06123204395811	"UP"
"ENSG00000005100"	-0.156952770428905	0.0830027174525662	0.290158931589935	0.0905397576192817	-1.73352320081183	"DOWN"
"ENSG00000005156"	0.0712947026774501	0.8249874944141	0.924173893443818	0.322403850277584	0.221134774339905	"UP"
"ENSG00000005175"	-0.0624896117364176	0.412577833540613	0.675759652669477	0.0762658437435953	-0.819365638260121	"DOWN"
"ENSG00000005187"	-0.146247167024317	0.506041402189287	0.744240547509024	0.219915851557363	-0.66501421333955	"DOWN"
"ENSG00000005189"	-0.383862657412499	0.00156316690551594	0.0247814610741041	0.121372061424877	-3.16269372791439	"DOWN"
"ENSG00000005194"	-0.0655693120585479	0.199172266730538	0.46745333573106	0.0510698878276887	-1.28391337532952	"DOWN"
"ENSG00000005206"	0.179004925357768	0.0621664936080075	0.244859012397504	0.0959757184288661	1.86510638615787	"UP"
"ENSG00000005238"	0.278072538421252	0.280437788491457	0.557299867475737	0.257632871929431	1.07933640741862	"UP"
"ENSG00000005243"	0.0474311160986052	0.790485109755547	0.904458832013571	0.178526749407967	0.265680724350256	"UP"
"ENSG00000005249"	0.939165894307263	0.000684942234514249	0.0141946530925327	0.276588361017379	3.39553656868537	"UP"
"ENSG00000005302"	0.0107399198420091	0.896948809595818	0.957791426679454	0.0829230488158376	0.129516702477513	"UP"
"ENSG00000005339"	-0.356553193773273	0.0365641464706999	0.179075255589624	0.170550843935581	-2.09059765138393	"DOWN"
"ENSG00000005379"	-0.0951254938349737	0.647957213927246	0.831354829650037	0.20833354836822	-0.456601899118253	"DOWN"
"ENSG00000005436"	-0.193189778406117	0.0511744913798797	0.218634770754694	0.0990709874174727	-1.9500136562891	"DOWN"
